"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar login aplicacion Acme demo","Validar inicio de sesion Acme demo","SUCCESS","2023-05-30T20:24:36.39753-05:00[America/Bogota]","0.0","6.83"
"Realizar login aplicacion Acme demo","Validar numero de transacciones en el home","SUCCESS","2023-05-30T20:24:43.371084-05:00[America/Bogota]","0.0","3.64"
"Realizar login aplicacion Acme demo","Validar el total balance en el home","SUCCESS","2023-05-30T20:24:47.12547-05:00[America/Bogota]","0.0","3.8"
"Realizar login aplicacion Acme demo","Validar el credit avalible en el home","SUCCESS","2023-05-30T20:24:51.034868-05:00[America/Bogota]","0.0","5.7"
"Realizar login aplicacion Acme demo","Validar los valores positivos de la columna amount sean verdes","SUCCESS","2023-05-30T20:24:56.845996-05:00[America/Bogota]","0.0","3.75"
"Realizar login aplicacion Acme demo","Validar los valores negativos de la columna amount sean rojos","SUCCESS","2023-05-30T20:25:00.710742-05:00[America/Bogota]","0.0","5.44"
"Realizar login aplicacion Acme demo","Validar estado completado color verde","SUCCESS","2023-05-30T20:25:06.263792-05:00[America/Bogota]","0.0","3.64"
"Realizar login aplicacion Acme demo","Validar estado declinado color rojo","SUCCESS","2023-05-30T20:25:10.01578-05:00[America/Bogota]","0.0","3.67"
"Realizar login aplicacion Acme demo","Validar estado pendiente color amarillo","SUCCESS","2023-05-30T20:25:13.796546-05:00[America/Bogota]","0.0","3.56"
